epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,150.024,3.45883,2.29004,2.05724,0.01845,0.0595,0.01001,0.00261,4.1404,2.92854,2.54948,0.000915875,0.000915875,0.000915875
56,155.813,3.47703,2.22042,2.05199,0.27591,0.04285,0.0138,0.00353,3.38249,2.9365,2.20939,0.000909688,0.000909688,0.000909688
57,157.604,3.50003,2.2399,1.93704,0.02707,0.18735,0.02011,0.00463,3.39313,2.88882,2.24757,0.0009035,0.0009035,0.0009035
58,159.195,3.40925,2.32847,2.02298,0.31339,0.20541,0.03697,0.01002,3.54122,2.88988,2.32654,0.000897313,0.000897313,0.000897313
59,161.683,3.42345,2.27192,2.00104,0.2811,0.1948,0.02844,0.00818,3.66187,2.83532,2.30289,0.000891125,0.000891125,0.000891125
60,163.243,3.43117,2.27921,1.96973,0.28617,0.19675,0.03005,0.00813,3.77432,2.75536,2.33404,0.000884938,0.000884938,0.000884938
61,164.773,3.4258,2.21599,1.98985,0.03195,0.19002,0.02573,0.00693,3.33764,2.79962,2.15552,0.00087875,0.00087875,0.00087875
62,168.348,3.45248,2.18533,1.93884,0.03641,0.15305,0.02585,0.00714,3.35613,2.9005,2.16552,0.000872563,0.000872563,0.000872563
63,170.135,3.3806,2.14092,1.94904,0.12377,0.14987,0.07921,0.02056,3.37341,2.72443,2.20406,0.000866375,0.000866375,0.000866375
64,171.768,3.38832,2.20399,1.95504,0.52909,0.05707,0.01612,0.00471,3.43853,2.84591,2.2466,0.000860188,0.000860188,0.000860188
65,173.444,3.34077,2.14863,1.92193,0.08359,0.178,0.07774,0.01851,3.32964,2.7504,2.15272,0.000854,0.000854,0.000854
66,174.978,3.31167,2.16901,1.96302,0.04908,0.19506,0.05533,0.01276,3.77006,2.6801,2.288,0.000847813,0.000847813,0.000847813
67,176.5,3.31932,2.17966,1.9445,0.04805,0.2267,0.0547,0.0129,3.17217,2.68382,2.09687,0.000841625,0.000841625,0.000841625
68,178.023,3.26974,2.14568,1.94745,0.05912,0.26864,0.05346,0.01319,3.38943,2.63438,2.21592,0.000835438,0.000835438,0.000835438
69,179.679,3.42529,2.04417,1.88873,0.06008,0.23379,0.05123,0.01323,3.18309,2.69235,2.12008,0.00082925,0.00082925,0.00082925
70,181.239,3.27439,2.14361,1.9372,0.03303,0.14163,0.02455,0.00697,3.35865,2.82975,2.15526,0.000823063,0.000823063,0.000823063
71,182.738,3.31122,2.09821,1.93935,0.03883,0.16085,0.02892,0.00779,3.37686,2.85485,2.17476,0.000816875,0.000816875,0.000816875
72,184.329,3.23087,2.11846,1.89167,0.04324,0.16012,0.03348,0.00872,3.24625,2.71427,2.11327,0.000810688,0.000810688,0.000810688
73,185.907,3.28394,2.10571,1.88224,0.03833,0.20397,0.0284,0.00669,3.19383,2.72482,2.11346,0.0008045,0.0008045,0.0008045
74,187.409,3.25054,2.20307,1.9407,0.06423,0.27804,0.08292,0.02058,3.12949,2.69538,2.0937,0.000798313,0.000798313,0.000798313
75,189.029,3.21621,2.1582,1.89351,0.04318,0.23589,0.0392,0.00929,3.04188,2.68961,2.02471,0.000792125,0.000792125,0.000792125
76,190.623,3.2266,2.16203,1.90495,0.07648,0.27287,0.07939,0.02096,2.97809,2.70833,1.9655,0.000785938,0.000785938,0.000785938
77,192.168,3.22785,2.06754,1.8936,0.04675,0.24587,0.0518,0.01257,3.14641,2.75051,2.04865,0.00077975,0.00077975,0.00077975
78,193.677,3.22038,2.09329,1.88241,0.05811,0.2008,0.04787,0.01133,3.3528,2.75422,2.08474,0.000773563,0.000773563,0.000773563
79,195.158,3.23908,2.04979,1.80015,0.32846,0.25139,0.06705,0.01659,3.10827,2.61637,2.02909,0.000767375,0.000767375,0.000767375
80,203.854,3.21932,2.07951,1.83164,0.06421,0.18076,0.07896,0.02748,3.1224,2.68998,2.08274,0.000761188,0.000761188,0.000761188
81,205.48,3.13842,2.12619,1.87963,0.06298,0.24785,0.09075,0.03562,3.11646,2.66268,2.09345,0.000755,0.000755,0.000755
82,207.012,3.20712,2.11885,1.84055,0.04688,0.26669,0.04885,0.01548,3.59795,2.66918,2.30626,0.000748813,0.000748813,0.000748813
83,209.648,3.17885,2.0842,1.83671,0.29983,0.24252,0.04953,0.01669,3.6531,2.65573,2.32276,0.000742625,0.000742625,0.000742625
84,211.197,3.12166,2.11503,1.85103,0.10661,0.3257,0.09032,0.02756,3.01629,2.61698,2.04303,0.000736438,0.000736438,0.000736438
85,212.751,3.17267,2.02387,1.85814,0.13618,0.33845,0.15715,0.04779,2.98021,2.57293,2.00599,0.00073025,0.00073025,0.00073025
86,214.266,3.1671,2.06387,1.8741,0.09382,0.34266,0.09641,0.02895,3.10557,2.4772,2.08088,0.000724062,0.000724062,0.000724062
87,224.29,3.13899,1.97267,1.80131,0.10128,0.38789,0.09553,0.02903,3.0121,2.50516,1.99329,0.000717875,0.000717875,0.000717875
88,226.029,3.08327,2.04084,1.80149,0.09974,0.34742,0.09119,0.02344,3.34038,2.51955,2.14688,0.000711687,0.000711687,0.000711687
89,227.518,3.15693,2.05098,1.84085,0.10412,0.38425,0.11313,0.02842,3.28019,2.51558,2.10962,0.0007055,0.0007055,0.0007055
90,228.99,3.10012,1.99385,1.84526,0.17935,0.30021,0.17688,0.04946,3.14501,2.54312,2.08524,0.000699312,0.000699312,0.000699312
91,230.547,2.99407,2.00167,1.80682,0.13022,0.38216,0.18025,0.05305,3.07686,2.56152,2.0756,0.000693125,0.000693125,0.000693125
92,232.176,3.14956,2.03343,1.86764,0.30838,0.28305,0.10053,0.03293,3.19258,2.7293,2.10233,0.000686937,0.000686937,0.000686937
93,233.729,3.08784,2.01332,1.82588,0.40506,0.18532,0.1228,0.03982,3.20589,2.7127,2.07311,0.00068075,0.00068075,0.00068075
94,242.488,3.10059,2.03436,1.78799,0.15262,0.22808,0.13706,0.04807,3.36373,2.55024,2.09137,0.000674562,0.000674562,0.000674562
95,245.081,3.1037,2.01234,1.82818,0.11603,0.278,0.16934,0.05895,3.08936,2.49811,2.03338,0.000668375,0.000668375,0.000668375
96,256.069,3.07987,2.0092,1.81888,0.16168,0.32042,0.1681,0.0568,3.0563,2.47357,1.98373,0.000662188,0.000662188,0.000662188
97,257.866,3.08254,1.9595,1.79256,0.14703,0.35727,0.16359,0.05674,3.26324,2.5964,2.07817,0.000656,0.000656,0.000656
98,259.447,3.02905,1.95958,1.82841,0.16315,0.38442,0.19956,0.07197,3.12795,2.58518,2.10961,0.000649813,0.000649813,0.000649813
99,261.021,3.08438,1.98881,1.82504,0.13968,0.38006,0.1761,0.05132,3.26936,2.61037,2.19348,0.000643625,0.000643625,0.000643625
100,262.491,3.08074,1.92198,1.76326,0.17676,0.35083,0.19781,0.06577,3.27041,2.55981,2.12867,0.000637437,0.000637437,0.000637437
101,264.06,3.05622,1.93204,1.74056,0.19526,0.19658,0.14031,0.04227,3.448,2.64181,2.20721,0.00063125,0.00063125,0.00063125
102,269.661,3.05916,1.93591,1.77734,0.19631,0.38449,0.23278,0.08879,3.00109,2.53998,1.98536,0.000625062,0.000625062,0.000625062
103,271.324,3.06364,1.93798,1.7775,0.32071,0.23697,0.18711,0.06545,3.18366,2.65462,2.14167,0.000618875,0.000618875,0.000618875
104,273.84,3.02414,1.92879,1.81002,0.19397,0.26045,0.16311,0.05315,3.21193,2.71625,2.09797,0.000612687,0.000612687,0.000612687
105,275.4,2.96022,1.926,1.77382,0.18506,0.32359,0.20948,0.06364,3.10694,2.55535,2.03553,0.0006065,0.0006065,0.0006065
106,276.801,3.02109,1.89924,1.79725,0.29994,0.29682,0.25747,0.08787,3.02267,2.44514,2.00153,0.000600313,0.000600313,0.000600313
107,278.359,3.00838,1.92703,1.78114,0.33399,0.27339,0.24627,0.07956,3.09071,2.47695,2.03306,0.000594125,0.000594125,0.000594125
108,279.93,3.03262,1.9067,1.74633,0.19927,0.35531,0.17705,0.05521,2.95357,2.56734,1.97311,0.000587938,0.000587938,0.000587938
109,281.435,2.97764,1.87131,1.76362,0.29921,0.413,0.28012,0.0912,2.89647,2.47771,1.92734,0.00058175,0.00058175,0.00058175
110,282.972,3.00129,1.92961,1.71522,0.21417,0.3311,0.19791,0.06483,2.94837,2.55621,1.89172,0.000575563,0.000575563,0.000575563
111,284.45,3.01244,1.92913,1.76019,0.16176,0.4036,0.17767,0.06146,3.03235,2.64397,1.91747,0.000569375,0.000569375,0.000569375
112,286.022,3.01606,1.88071,1.73275,0.17356,0.21898,0.14118,0.05333,3.21765,2.67983,2.06123,0.000563187,0.000563187,0.000563187
113,287.538,3.05794,1.9028,1.75531,0.14318,0.23409,0.12816,0.04861,3.29486,2.70793,2.15288,0.000557,0.000557,0.000557
114,288.955,3.02077,1.91704,1.77511,0.20235,0.40404,0.25422,0.0865,3.13492,2.5893,2.07779,0.000550813,0.000550813,0.000550813
115,292.467,2.99529,1.88203,1.77476,0.20142,0.45864,0.27844,0.07529,3.19492,2.35364,2.09431,0.000544625,0.000544625,0.000544625
116,294.171,2.9717,1.85365,1.77367,0.27711,0.28514,0.2398,0.08687,3.01735,2.54507,1.97825,0.000538438,0.000538438,0.000538438
117,297.178,3.0287,1.92196,1.78495,0.18452,0.30732,0.1974,0.06657,3.22695,2.70598,2.0255,0.00053225,0.00053225,0.00053225
118,298.912,2.97633,1.9399,1.75259,0.25222,0.34713,0.26038,0.10582,2.9417,2.57867,1.93508,0.000526063,0.000526063,0.000526063
