epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,254.824,2.02717,1.12399,1.27204,0.65049,0.47262,0.51977,0.23628,2.23689,1.82967,1.50821,0.000835438,0.000835438,0.000835438
69,256.379,2.04683,1.11916,1.23797,0.39913,0.53092,0.37337,0.15634,2.31174,2.09976,1.55417,0.00082925,0.00082925,0.00082925
70,257.859,2.02779,1.15053,1.2815,0.53537,0.48723,0.45846,0.19578,2.32501,1.88974,1.57816,0.000823063,0.000823063,0.000823063
71,259.267,2.05026,1.10276,1.27791,0.51543,0.54582,0.49458,0.22079,2.28557,1.83806,1.56479,0.000816875,0.000816875,0.000816875
72,260.734,2.02593,1.12669,1.25763,0.39325,0.50118,0.42328,0.17446,2.25577,1.881,1.51971,0.000810688,0.000810688,0.000810688
73,262.226,2.01128,1.11087,1.24949,0.45801,0.43173,0.42169,0.16146,2.28077,1.95401,1.5379,0.0008045,0.0008045,0.0008045
74,263.652,1.96216,1.11774,1.25993,0.51392,0.41716,0.41037,0.16989,2.2022,1.94343,1.49819,0.000798313,0.000798313,0.000798313
75,265.112,1.96817,1.11151,1.24992,0.53266,0.41887,0.42958,0.18976,2.1525,1.82457,1.48352,0.000792125,0.000792125,0.000792125
76,266.612,1.91107,1.06875,1.24713,0.46333,0.47807,0.42902,0.1859,2.21427,1.85848,1.53443,0.000785938,0.000785938,0.000785938
77,268.055,1.96638,1.07233,1.24403,0.54754,0.38079,0.41738,0.18109,2.162,1.96485,1.46699,0.00077975,0.00077975,0.00077975
78,269.466,1.96065,1.08599,1.24535,0.46863,0.41132,0.41419,0.18987,2.11581,1.88139,1.42975,0.000773563,0.000773563,0.000773563
79,270.889,1.9671,1.05697,1.21336,0.52682,0.36584,0.37564,0.15177,2.23872,1.95096,1.47549,0.000767375,0.000767375,0.000767375
80,281.876,1.99298,1.05754,1.23235,0.3456,0.52404,0.34672,0.12763,2.34775,2.20899,1.54079,0.000761188,0.000761188,0.000761188
81,283.532,1.97359,1.08565,1.26009,0.42229,0.55328,0.47579,0.20973,2.28865,2.14736,1.56113,0.000755,0.000755,0.000755
82,284.991,1.9909,1.0845,1.24476,0.46895,0.47717,0.39538,0.15994,2.34472,2.18142,1.57481,0.000748813,0.000748813,0.000748813
83,290.035,1.95921,1.06612,1.23205,0.40881,0.37133,0.3479,0.13823,2.26394,2.22843,1.52488,0.000742625,0.000742625,0.000742625
84,291.535,1.87274,1.02996,1.21816,0.42149,0.38088,0.36382,0.14276,2.2797,2.3364,1.57134,0.000736438,0.000736438,0.000736438
85,292.989,1.93378,1.04631,1.24234,0.46561,0.46474,0.39752,0.15656,2.3325,2.27754,1.60992,0.00073025,0.00073025,0.00073025
86,294.424,1.90689,1.06042,1.2304,0.6167,0.52215,0.47555,0.20256,2.29138,1.88709,1.55592,0.000724062,0.000724062,0.000724062
87,306.739,1.96652,1.02331,1.21852,0.6871,0.49836,0.53177,0.24271,2.28574,1.79842,1.56052,0.000717875,0.000717875,0.000717875
88,308.447,1.90651,1.04677,1.21631,0.71974,0.52932,0.58701,0.26857,2.23337,1.77659,1.54109,0.000711687,0.000711687,0.000711687
89,309.869,1.90068,1.01499,1.22312,0.67933,0.52735,0.56118,0.25292,2.23379,1.81858,1.56401,0.0007055,0.0007055,0.0007055
90,311.261,1.91137,1.03182,1.23948,0.58151,0.49802,0.5268,0.2397,2.24225,1.91896,1.53745,0.000699312,0.000699312,0.000699312
91,312.719,1.83583,1.01945,1.20564,0.47832,0.55575,0.5045,0.23224,2.27653,2.01395,1.56908,0.000693125,0.000693125,0.000693125
92,314.26,1.9129,1.01194,1.22456,0.51539,0.49598,0.46646,0.20706,2.19087,1.82031,1.51693,0.000686937,0.000686937,0.000686937
93,315.726,1.89795,1.02606,1.22009,0.51081,0.4798,0.46604,0.21188,2.15737,1.8396,1.48459,0.00068075,0.00068075,0.00068075
94,327.441,1.90654,1.01109,1.2044,0.475,0.52633,0.44572,0.19214,2.22111,2.00264,1.50165,0.000674562,0.000674562,0.000674562
